GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight45, RotateRight90, GetBattleInfo, GetBattleInfo, RotateRight90, RotateRight90
MoveForward, Shoot, RotateRight90, RotateRight90, GetBattleInfo, GetBattleInfo
GetBattleInfo, GetBattleInfo, Shoot, Shoot, Shoot (killed), Shoot
RotateRight45, killed, GetBattleInfo, killed, killed, MoveForward
RotateLeft90, killed, RotateRight45, killed, killed, GetBattleInfo
GetBattleInfo, killed, GetBattleInfo, killed, killed, GetBattleInfo
GetBattleInfo, killed, MoveForward, killed, killed, MoveForward
MoveForward (ignored) (killed), killed, GetBattleInfo, killed, killed, RotateLeft45
killed, killed, MoveForward (ignored), killed, killed, GetBattleInfo
killed, killed, GetBattleInfo, killed, killed, RotateRight45
killed, killed, RotateLeft45, killed, killed, Shoot
killed, killed, GetBattleInfo, killed, killed, GetBattleInfo
killed, killed, Shoot, killed, killed, MoveForward (ignored)
killed, killed, RotateRight90, killed, killed, RotateLeft45
killed, killed, GetBattleInfo, killed, killed, GetBattleInfo
killed, killed, RotateRight90, killed, killed, RotateRight45
killed, killed, MoveForward, killed, killed, Shoot
killed, killed, GetBattleInfo, killed, killed, GetBattleInfo
killed, killed, RotateRight90, killed, killed, RotateLeft45 (killed)
Player 2 won with 1 tanks still alive
