RotateLeft45, GetBattleInfo, RotateLeft45
RotateLeft45, RotateLeft45, RotateLeft45
RotateLeft45, Shoot, RotateLeft45 (killed)
RotateLeft45, GetBattleInfo, killed
RotateLeft45, MoveForward, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, RotateLeft45, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, RotateLeft45, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, RotateLeft45, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, RotateLeft45, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, RotateLeft45, killed
Tie, reached max steps = 20 , player 1 has 1 tanks, player 2 has 1 tanks
