RotateLeft45, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo
RotateLeft45, Shoot, RotateLeft45, RotateLeft45, MoveForward
RotateLeft45 (killed), DoNothing, RotateLeft45, RotateLeft45, GetBattleInfo
killed, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo
killed, RotateRight45, RotateLeft45, RotateLeft45, RotateRight45
killed, GetBattleInfo, RotateLeft45, RotateLeft45, GetBattleInfo
killed, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo
killed, RotateRight45, RotateLeft45, RotateLeft45, MoveForward
killed, GetBattleInfo, RotateLeft45, RotateLeft45, GetBattleInfo
killed, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo
killed, RotateRight45, RotateLeft45, RotateLeft45, RotateRight45
killed, GetBattleInfo, RotateLeft45, RotateLeft45, GetBattleInfo
killed, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo
killed, RotateRight45, RotateLeft45, RotateLeft45, RotateRight45
killed, GetBattleInfo, RotateLeft45, RotateLeft45, GetBattleInfo
killed, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo
killed, RotateRight45, RotateLeft45, RotateLeft45, RotateRight45
killed, GetBattleInfo, RotateLeft45, RotateLeft45, GetBattleInfo
killed, GetBattleInfo, GetBattleInfo, RotateLeft45, GetBattleInfo
killed, RotateRight45, RotateLeft45, RotateLeft45, RotateRight45
Tie, reached max steps = 20 , player 1 has 3 tanks, player 2 has 1 tanks
