RotateLeft45, GetBattleInfo, RotateLeft45
RotateLeft45, RotateLeft45, RotateLeft45
RotateLeft45, Shoot, RotateLeft45 (killed)
RotateLeft45, GetBattleInfo, killed
RotateLeft45, MoveForward, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, RotateRight45, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, MoveForward, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, MoveForward, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, MoveForward, killed
RotateLeft45, RotateRight45, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, MoveForward, killed
RotateLeft45, RotateLeft45, killed
RotateLeft45, GetBattleInfo, killed
RotateLeft45, Shoot, killed
Player 1 won with 1 tanks still alive
