GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight90, RotateLeft90, RotateLeft45
Shoot, RotateLeft90, RotateLeft45
GetBattleInfo, GetBattleInfo, GetBattleInfo
DoNothing, MoveForward, RotateLeft45
DoNothing, MoveForward, RotateLeft45
GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, MoveForward, RotateLeft45
DoNothing, MoveForward, RotateLeft45
GetBattleInfo, GetBattleInfo, GetBattleInfo
DoNothing, DoNothing, MoveForward
DoNothing, RotateLeft90, MoveForward
GetBattleInfo, GetBattleInfo, GetBattleInfo
Shoot, RotateRight45, DoNothing (killed)
Player 2 won with 2 tanks still alive
